-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M_MIN     MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS2M_MIN,1984,21.0,92.5,0.04,0.05,0.03,0.06,0.25,0.2,0.13,0.05,0.04,0.08,0.08,0.05,0.03
WS2M_MIN,1984,21.5,88.75,0.15,0.09,0.66,0.62,2.04,1.04,2.16,0.3,0.06,0.17,0.37,0.14,0.06
WS2M_MIN,1984,21.5,89.375,0.21,0.08,0.61,0.53,1.45,1.64,2.48,0.57,0.09,0.12,0.07,0.15,0.07
WS2M_MIN,1984,21.5,90.0,0.06,0.11,0.65,0.56,0.38,1.28,2.27,0.35,0.36,0.04,0.07,0.04,0.04
WS2M_MIN,1984,21.5,90.625,0.09,0.11,0.63,0.39,1.71,3.25,1.37,0.87,0.13,0.35,0.06,0.29,0.06
WS2M_MIN,1984,21.5,91.25,0.07,0.54,0.55,0.7,3.56,2.05,0.85,0.58,0.13,0.37,0.15,0.28,0.07
WS2M_MIN,1984,21.5,91.875,0.76,0.2,0.28,0.31,2.06,0.71,1.19,0.35,0.18,0.56,0.28,0.29,0.18
WS2M_MIN,1984,21.5,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1984,22.0,88.75,0.02,0.07,0.76,0.34,1.2,0.28,1.28,0.2,0.09,0.08,0.14,0.32,0.02
WS2M_MIN,1984,22.0,89.375,0.07,0.11,0.44,0.33,0.79,0.6,1.28,0.08,0.12,0.03,0.03,0.13,0.03
WS2M_MIN,1984,22.0,90.0,0.04,0.1,0.45,0.13,0.71,0.42,1.53,0.05,0.09,0.01,0.05,0.04,0.01
WS2M_MIN,1984,22.0,90.625,0.09,0.07,0.1,0.52,2.02,2.64,2.09,0.16,0.21,0.37,0.04,0.17,0.04
WS2M_MIN,1984,22.0,91.25,0.18,0.27,0.32,0.84,3.42,2.28,1.17,0.58,0.18,0.12,0.2,0.38,0.12
WS2M_MIN,1984,22.0,91.875,0.36,0.33,0.24,0.22,2.02,0.79,0.84,0.26,0.06,0.08,0.36,0.26,0.06
WS2M_MIN,1984,22.0,92.5,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1984,22.5,88.75,0.06,0.07,0.38,0.2,0.89,0.17,0.69,0.29,0.31,0.06,0.22,0.68,0.06
WS2M_MIN,1984,22.5,89.375,0.06,0.02,0.28,0.31,0.72,0.4,0.37,0.17,0.2,0.0,0.1,0.39,0.0
WS2M_MIN,1984,22.5,90.0,0.19,0.14,0.2,0.45,0.8,0.51,0.77,0.3,0.09,0.02,0.02,0.1,0.02
WS2M_MIN,1984,22.5,90.625,0.23,0.11,0.12,0.19,1.14,0.29,1.25,0.26,0.1,0.08,0.1,0.06,0.06
WS2M_MIN,1984,22.5,91.25,0.32,0.15,0.06,0.31,2.52,1.49,0.78,0.74,0.21,0.59,0.08,0.04,0.04
WS2M_MIN,1984,22.5,91.875,0.26,0.09,0.18,0.58,1.34,1.13,0.76,0.08,0.12,0.11,0.29,0.09,0.08
WS2M_MIN,1984,22.5,92.5,0.01,0.04,0.02,0.05,0.05,0.02,0.01,0.08,0.03,0.04,0.04,0.03,0.01
WS2M_MIN,1984,23.0,88.75,0.24,0.05,0.12,0.34,0.98,0.14,0.57,0.06,0.21,0.07,0.12,0.4,0.05
WS2M_MIN,1984,23.0,89.375,0.16,0.19,0.16,0.45,0.81,0.37,0.55,0.16,0.26,0.09,0.11,0.26,0.09
WS2M_MIN,1984,23.0,90.0,0.04,0.29,0.19,0.23,0.68,0.23,0.58,0.25,0.07,0.07,0.07,0.06,0.04
WS2M_MIN,1984,23.0,90.625,0.06,0.19,0.42,0.06,0.63,0.35,0.64,0.11,0.13,0.08,0.02,0.07,0.02
WS2M_MIN,1984,23.0,91.25,0.35,0.23,0.62,0.36,0.8,0.32,0.46,0.1,0.19,0.13,0.09,0.05,0.05
WS2M_MIN,1984,23.0,91.875,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1984,23.0,92.5,0.02,0.04,0.04,0.05,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.03,0.01
WS2M_MIN,1984,23.5,88.75,0.03,0.21,0.05,0.1,0.3,0.16,0.16,0.26,0.1,0.05,0.06,0.24,0.03
WS2M_MIN,1984,23.5,89.375,0.1,0.2,0.31,0.31,0.77,0.18,0.39,0.18,0.07,0.05,0.09,0.27,0.05
WS2M_MIN,1984,23.5,90.0,0.08,0.22,0.16,0.11,0.59,0.11,0.58,0.15,0.22,0.01,0.08,0.08,0.01
WS2M_MIN,1984,23.5,90.625,0.11,0.1,0.11,0.35,0.43,0.37,0.52,0.25,0.08,0.08,0.02,0.14,0.02
WS2M_MIN,1984,23.5,91.25,0.27,0.19,0.12,0.27,0.71,0.22,0.28,0.2,0.13,0.16,0.04,0.04,0.04
WS2M_MIN,1984,23.5,91.875,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1984,23.5,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1984,24.0,88.75,0.09,0.06,0.13,0.07,0.09,0.15,0.27,0.07,0.31,0.15,0.26,0.38,0.06
WS2M_MIN,1984,24.0,89.375,0.06,0.22,0.12,0.17,0.54,0.15,0.15,0.18,0.21,0.12,0.21,0.11,0.06
WS2M_MIN,1984,24.0,90.0,0.17,0.2,0.23,0.14,0.46,0.19,0.62,0.17,0.08,0.13,0.09,0.01,0.01
WS2M_MIN,1984,24.0,90.625,0.16,0.12,0.13,0.21,0.28,0.35,0.3,0.12,0.06,0.12,0.03,0.1,0.03
WS2M_MIN,1984,24.0,91.25,0.05,0.2,0.08,0.33,0.56,0.36,0.26,0.19,0.07,0.04,0.02,0.04,0.02
WS2M_MIN,1984,24.0,91.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1984,24.0,92.5,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1984,24.5,88.75,0.09,0.0,0.04,0.09,0.02,0.12,0.47,0.29,0.09,0.11,0.09,0.04,0.0
WS2M_MIN,1984,24.5,89.375,0.18,0.2,0.2,0.1,0.32,0.05,0.37,0.19,0.09,0.18,0.57,0.09,0.05
WS2M_MIN,1984,24.5,90.0,0.14,0.31,0.19,0.17,0.25,0.07,0.29,0.13,0.09,0.1,0.08,0.06,0.06
WS2M_MIN,1984,24.5,90.625,0.15,0.07,0.16,0.16,0.12,0.51,0.34,0.16,0.15,0.07,0.04,0.04,0.04
WS2M_MIN,1984,24.5,91.25,0.02,0.08,0.16,0.42,0.33,0.49,0.17,0.2,0.03,0.11,0.06,0.02,0.02
WS2M_MIN,1984,24.5,91.875,0.15,0.18,0.08,0.29,0.14,0.27,0.12,0.16,0.07,0.08,0.07,0.09,0.07
WS2M_MIN,1984,24.5,92.5,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0.01,0.0,0.01,0.0
WS2M_MIN,1984,25.0,88.75,0.06,0.13,0.06,0.11,0.22,0.06,0.39,0.06,0.15,0.1,0.17,0.19,0.06
WS2M_MIN,1984,25.0,89.375,0.15,0.12,0.13,0.08,0.18,0.12,0.57,0.07,0.04,0.06,0.15,0.04,0.04
WS2M_MIN,1984,25.0,90.0,0.19,0.09,0.1,0.05,0.06,0.1,0.47,0.33,0.08,0.11,0.04,0.15,0.04
WS2M_MIN,1984,25.0,90.625,0.18,0.05,0.11,0.06,0.11,0.31,0.11,0.02,0.12,0.15,0.11,0.1,0.02
WS2M_MIN,1984,25.0,91.25,0.06,0.08,0.26,0.25,0.31,0.02,0.17,0.21,0.15,0.06,0.05,0.09,0.02
WS2M_MIN,1984,25.0,91.875,0.19,0.24,0.13,0.01,0.04,0.03,0.11,0.12,0.1,0.15,0.16,0.19,0.01
WS2M_MIN,1984,25.0,92.5,0.11,0.12,0.02,0.02,0.04,0.11,0.1,0.08,0.18,0.06,0.04,0.11,0.02
WS2M_MIN,1984,25.5,88.75,0.01,0.06,0.04,0.09,0.22,0.31,0.31,0.15,0.04,0.05,0.23,0.03,0.01
WS2M_MIN,1984,25.5,89.375,0.22,0.2,0.06,0.09,0.07,0.12,0.58,0.19,0.01,0.21,0.23,0.03,0.01
WS2M_MIN,1984,25.5,90.0,0.13,0.1,0.01,0.03,0.13,0.02,0.24,0.09,0.01,0.08,0.02,0.03,0.01
WS2M_MIN,1984,25.5,90.625,0.02,0.01,0.08,0.03,0.08,0.05,0.05,0.04,0.02,0.01,0.01,0.04,0.01
WS2M_MIN,1984,25.5,91.25,0.13,0.07,0.01,0.09,0.3,0.22,0.25,0.3,0.25,0.07,0.05,0.13,0.01
WS2M_MIN,1984,25.5,91.875,0.05,0.18,0.12,0.12,0.14,0.25,0.36,0.24,0.23,0.04,0.15,0.12,0.04
WS2M_MIN,1984,25.5,92.5,0.01,0.02,0.07,0.04,0.13,0.07,0.18,0.05,0.09,0.02,0.03,0.04,0.01
WS2M_MIN,1984,26.0,88.75,0.05,0.06,0.03,0.08,0.16,0.09,0.37,0.04,0.11,0.02,0.05,0.01,0.01
WS2M_MIN,1984,26.0,89.375,0.05,0.02,0.09,0.05,0.17,0.05,0.33,0.07,0.16,0.1,0.07,0.04,0.02
WS2M_MIN,1984,26.0,90.0,0.01,0.01,0.04,0.07,0.14,0.11,0.24,0.05,0.06,0.04,0.28,0.1,0.01
WS2M_MIN,1984,26.0,90.625,0.1,0.18,0.14,0.13,0.04,0.06,0.04,0.12,0.07,0.02,0.12,0.06,0.02
WS2M_MIN,1984,26.0,91.25,0.12,0.11,0.01,0.1,0.12,0.08,0.33,0.14,0.21,0.08,0.15,0.18,0.01
WS2M_MIN,1984,26.0,91.875,0.07,0.02,0.06,0.03,0.02,0.12,0.1,0.01,0.07,0.02,0.05,0.03,0.01
WS2M_MIN,1984,26.0,92.5,0.01,0.02,0.01,0.04,0.01,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.0
WS2M_MIN,1985,20.5,88.75,0.19,0.23,1.13,1.24,1.13,0.99,0.19,0.95,0.07,0.3,0.04,0.17,0.04
WS2M_MIN,1985,20.5,89.375,0.01,0.03,0.98,1.0,1.48,1.77,0.42,0.99,0.11,0.17,0.14,0.1,0.01
WS2M_MIN,1985,20.5,90.0,0.16,0.18,0.72,0.25,0.93,1.43,0.34,1.19,0.43,0.14,0.19,0.11,0.11
WS2M_MIN,1985,20.5,90.625,0.08,0.11,0.71,0.35,0.91,1.7,1.14,0.93,0.64,0.16,0.96,0.17,0.08
WS2M_MIN,1985,20.5,91.25,0.43,0.18,0.38,0.74,0.2,1.07,0.76,0.51,0.06,0.41,0.57,0.01,0.01
WS2M_MIN,1985,20.5,91.875,1.1,0.74,0.35,0.17,0.48,0.34,0.62,0.26,0.1,0.28,0.54,0.03,0.03
WS2M_MIN,1985,20.5,92.5,0.34,0.24,0.45,0.41,0.21,0.83,0.46,0.08,0.28,0.29,0.33,0.15,0.08
WS2M_MIN,1985,21.0,88.75,0.11,0.07,1.16,0.82,1.35,1.22,0.92,0.74,0.33,0.61,0.15,0.16,0.07
WS2M_MIN,1985,21.0,89.375,0.03,0.03,1.1,1.27,1.54,0.95,0.82,0.66,0.12,0.11,0.19,0.18,0.03
WS2M_MIN,1985,21.0,90.0,0.14,0.08,0.9,0.51,1.32,1.13,0.34,0.7,0.17,0.15,0.04,0.12,0.04
WS2M_MIN,1985,21.0,90.625,0.21,0.16,0.8,0.15,1.0,1.29,1.61,1.13,0.47,0.06,0.03,0.12,0.03
WS2M_MIN,1985,21.0,91.25,0.29,0.1,0.55,0.13,0.44,1.11,1.45,1.31,0.16,0.06,0.17,0.16,0.06
WS2M_MIN,1985,21.0,91.875,0.81,0.3,0.03,0.02,0.21,0.18,1.14,0.93,0.12,0.18,0.23,0.2,0.02
WS2M_MIN,1985,21.0,92.5,0.05,0.06,0.01,0.01,0.01,0.04,0.16,0.05,0.08,0.04,0.08,0.06,0.01
WS2M_MIN,1985,21.5,88.75,0.11,0.09,1.24,0.72,0.65,0.36,0.54,0.46,0.43,0.26,0.18,0.11,0.09
WS2M_MIN,1985,21.5,89.375,0.06,0.07,1.52,1.08,0.93,0.74,0.13,0.3,0.4,0.16,0.12,0.24,0.06
WS2M_MIN,1985,21.5,90.0,0.11,0.09,1.56,0.83,1.41,1.17,0.87,0.71,0.07,0.0,0.18,0.09,0.0
WS2M_MIN,1985,21.5,90.625,0.03,0.12,1.31,0.6,1.35,1.29,1.61,0.95,0.12,0.13,0.05,0.21,0.03
WS2M_MIN,1985,21.5,91.25,0.32,0.09,1.26,0.11,0.45,1.17,2.03,1.35,0.26,0.05,0.12,0.19,0.05
WS2M_MIN,1985,21.5,91.875,0.13,0.28,0.21,0.12,0.24,0.36,1.45,1.25,0.44,0.26,0.01,0.11,0.01
WS2M_MIN,1985,21.5,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1985,22.0,88.75,0.1,0.17,0.94,0.58,0.56,0.16,0.44,0.58,0.28,0.29,0.1,0.27,0.1
WS2M_MIN,1985,22.0,89.375,0.06,0.11,0.83,0.45,0.33,0.29,0.53,0.42,0.25,0.08,0.09,0.12,0.06
WS2M_MIN,1985,22.0,90.0,0.03,0.12,1.17,0.18,0.88,0.26,0.83,0.67,0.25,0.09,0.03,0.04,0.03
WS2M_MIN,1985,22.0,90.625,0.09,0.04,1.16,0.38,1.02,0.63,1.34,0.96,0.36,0.09,0.03,0.18,0.03
WS2M_MIN,1985,22.0,91.25,0.13,0.17,1.5,0.21,0.68,0.48,1.03,1.39,0.09,0.09,0.3,0.14,0.09
WS2M_MIN,1985,22.0,91.875,0.18,0.13,0.09,0.28,0.33,0.42,0.33,0.91,0.31,0.12,0.26,0.16,0.09
WS2M_MIN,1985,22.0,92.5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0
WS2M_MIN,1985,22.5,88.75,0.21,0.13,0.44,0.43,0.56,0.39,0.56,0.21,0.33,0.09,0.22,0.15,0.09
WS2M_MIN,1985,22.5,89.375,0.17,0.09,0.61,0.2,0.43,0.08,0.6,0.08,0.11,0.09,0.06,0.04,0.04
WS2M_MIN,1985,22.5,90.0,0.09,0.19,0.86,0.13,0.5,0.57,0.69,0.65,0.16,0.11,0.11,0.05,0.05
WS2M_MIN,1985,22.5,90.625,0.06,0.09,1.18,0.43,0.54,0.48,0.99,0.97,0.21,0.15,0.01,0.03,0.01
WS2M_MIN,1985,22.5,91.25,0.13,0.12,1.22,0.25,0.4,0.33,0.35,1.46,0.21,0.1,0.1,0.06,0.06
WS2M_MIN,1985,22.5,91.875,0.21,0.05,0.14,0.6,0.18,0.14,0.35,0.97,0.25,0.2,0.13,0.09,0.05
WS2M_MIN,1985,22.5,92.5,0.02,0.03,0.05,0.0,0.01,0.06,0.04,0.12,0.03,0.02,0.02,0.02,0.0
WS2M_MIN,1985,23.0,88.75,0.09,0.03,0.31,0.08,0.24,0.13,0.53,0.33,0.23,0.07,0.19,0.13,0.03
WS2M_MIN,1985,23.0,89.375,0.12,0.08,0.22,0.11,0.37,0.55,0.64,0.19,0.19,0.07,0.08,0.04,0.04
WS2M_MIN,1985,23.0,90.0,0.07,0.08,0.8,0.19,0.43,0.48,0.78,0.71,0.17,0.09,0.06,0.07,0.06
WS2M_MIN,1985,23.0,90.625,0.04,0.1,1.04,0.39,0.46,0.35,0.78,0.99,0.2,0.05,0.01,0.03,0.01
WS2M_MIN,1985,23.0,91.25,0.25,0.07,0.82,0.54,0.14,0.39,0.24,0.69,0.13,0.06,0.07,0.08,0.06
WS2M_MIN,1985,23.0,91.875,0.01,0.01,0.04,0.06,0.03,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1985,23.0,92.5,0.0,0.03,0.05,0.02,0.02,0.03,0.05,0.07,0.0,0.02,0.01,0.02,0.0
WS2M_MIN,1985,23.5,88.75,0.07,0.15,0.06,0.06,0.16,0.34,0.6,0.02,0.25,0.03,0.06,0.06,0.02
WS2M_MIN,1985,23.5,89.375,0.08,0.04,0.08,0.19,0.04,0.06,0.85,0.29,0.02,0.03,0.16,0.06,0.02
WS2M_MIN,1985,23.5,90.0,0.25,0.08,0.13,0.14,0.08,0.34,0.81,0.58,0.28,0.17,0.1,0.11,0.08
WS2M_MIN,1985,23.5,90.625,0.02,0.13,0.99,0.38,0.33,0.38,0.63,1.02,0.04,0.09,0.13,0.06,0.02
WS2M_MIN,1985,23.5,91.25,0.08,0.09,0.84,0.5,0.24,0.41,0.25,0.72,0.12,0.12,0.05,0.04,0.04
WS2M_MIN,1985,23.5,91.875,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1985,23.5,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1985,24.0,88.75,0.14,0.03,0.04,0.12,0.17,0.06,0.52,0.07,0.26,0.07,0.35,0.25,0.03
WS2M_MIN,1985,24.0,89.375,0.08,0.14,0.06,0.1,0.16,0.21,1.03,0.33,0.16,0.09,0.17,0.05,0.05
WS2M_MIN,1985,24.0,90.0,0.15,0.06,0.04,0.09,0.25,0.47,0.84,0.15,0.05,0.05,0.06,0.01,0.01
WS2M_MIN,1985,24.0,90.625,0.11,0.17,0.8,0.66,0.26,0.34,0.6,0.5,0.07,0.04,0.13,0.08,0.04
WS2M_MIN,1985,24.0,91.25,0.24,0.05,0.79,0.61,0.12,0.38,0.52,0.44,0.18,0.06,0.07,0.04,0.04
WS2M_MIN,1985,24.0,91.875,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0
WS2M_MIN,1985,24.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1985,24.5,88.75,0.2,0.11,0.17,0.05,0.07,0.24,0.55,0.07,0.17,0.1,0.45,0.11,0.05
WS2M_MIN,1985,24.5,89.375,0.1,0.12,0.04,0.09,0.38,0.23,0.38,0.27,0.22,0.08,0.11,0.32,0.04
WS2M_MIN,1985,24.5,90.0,0.18,0.1,0.1,0.25,0.19,0.15,0.28,0.28,0.09,0.12,0.2,0.09,0.09
WS2M_MIN,1985,24.5,90.625,0.04,0.06,0.3,0.1,0.3,0.25,0.44,0.01,0.16,0.08,0.13,0.04,0.01
WS2M_MIN,1985,24.5,91.25,0.08,0.1,0.37,0.48,0.06,0.05,0.3,0.16,0.07,0.04,0.07,0.03,0.03
WS2M_MIN,1985,24.5,91.875,0.21,0.12,0.24,0.08,0.16,0.28,0.26,0.23,0.03,0.1,0.02,0.09,0.02
WS2M_MIN,1985,24.5,92.5,0.01,0.02,0.02,0.01,0.01,0.0,0.02,0.03,0.04,0.01,0.01,0.0,0.0
WS2M_MIN,1985,25.0,88.75,0.04,0.06,0.19,0.08,0.19,0.27,0.28,0.13,0.09,0.06,0.08,0.03,0.03
WS2M_MIN,1985,25.0,89.375,0.02,0.09,0.09,0.12,0.16,0.18,0.36,0.45,0.13,0.05,0.12,0.05,0.02
WS2M_MIN,1985,25.0,90.0,0.04,0.05,0.08,0.15,0.55,0.17,0.52,0.08,0.29,0.08,0.14,0.04,0.04
WS2M_MIN,1985,25.0,90.625,0.12,0.02,0.06,0.09,0.31,0.26,0.23,0.09,0.11,0.05,0.06,0.16,0.02
WS2M_MIN,1985,25.0,91.25,0.04,0.16,0.12,0.13,0.01,0.09,0.45,0.03,0.04,0.11,0.01,0.03,0.01
WS2M_MIN,1985,25.0,91.875,0.19,0.02,0.03,0.1,0.08,0.09,0.18,0.13,0.1,0.06,0.06,0.08,0.02
WS2M_MIN,1985,25.0,92.5,0.04,0.02,0.07,0.05,0.06,0.07,0.15,0.06,0.1,0.09,0.04,0.03,0.02
WS2M_MIN,1985,25.5,88.75,0.18,0.01,0.14,0.17,0.06,0.15,0.46,0.04,0.05,0.06,0.03,0.12,0.01
WS2M_MIN,1985,25.5,89.375,0.13,0.18,0.13,0.23,0.16,0.34,0.36,0.19,0.11,0.11,0.11,0.08,0.08
WS2M_MIN,1985,25.5,90.0,0.04,0.11,0.05,0.09,0.11,0.3,0.22,0.04,0.12,0.09,0.08,0.05,0.04
WS2M_MIN,1985,25.5,90.625,0.02,0.02,0.18,0.02,0.07,0.05,0.1,0.06,0.02,0.02,0.01,0.02,0.01
WS2M_MIN,1985,25.5,91.25,0.12,0.11,0.2,0.04,0.22,0.34,0.3,0.18,0.17,0.05,0.16,0.09,0.04
WS2M_MIN,1985,25.5,91.875,0.11,0.07,0.23,0.11,0.1,0.3,0.36,0.24,0.04,0.13,0.03,0.08,0.03
WS2M_MIN,1985,25.5,92.5,0.07,0.05,0.07,0.04,0.05,0.06,0.16,0.08,0.04,0.01,0.03,0.04,0.01
WS2M_MIN,1985,26.0,88.75,0.08,0.01,0.06,0.09,0.11,0.12,0.02,0.1,0.1,0.02,0.06,0.08,0.01
WS2M_MIN,1985,26.0,89.375,0.05,0.06,0.09,0.14,0.12,0.37,0.03,0.05,0.18,0.04,0.02,0.06,0.02
WS2M_MIN,1985,26.0,90.0,0.03,0.11,0.14,0.14,0.08,0.11,0.16,0.09,0.03,0.01,0.12,0.03,0.01
WS2M_MIN,1985,26.0,90.625,0.1,0.03,0.12,0.05,0.12,0.1,0.04,0.17,0.23,0.12,0.1,0.09,0.03
WS2M_MIN,1985,26.0,91.25,0.14,0.1,0.26,0.08,0.08,0.16,0.06,0.18,0.13,0.04,0.21,0.06,0.04
WS2M_MIN,1985,26.0,91.875,0.04,0.04,0.03,0.07,0.06,0.08,0.03,0.04,0.04,0.01,0.02,0.01,0.01
WS2M_MIN,1985,26.0,92.5,0.01,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.0
WS2M_MIN,1986,20.5,88.75,0.21,0.16,0.22,0.19,0.66,2.91,1.75,1.25,0.09,0.17,0.33,0.14,0.09
WS2M_MIN,1986,20.5,89.375,0.14,0.19,0.52,0.26,0.7,2.63,0.19,0.91,0.16,0.82,0.4,0.14,0.14
WS2M_MIN,1986,20.5,90.0,0.1,0.11,0.17,0.45,0.8,2.45,2.2,0.31,0.16,0.15,0.07,0.2,0.07
WS2M_MIN,1986,20.5,90.625,0.18,0.49,0.14,0.07,1.0,1.99,0.84,0.53,0.1,0.13,0.32,0.62,0.07
WS2M_MIN,1986,20.5,91.25,0.79,1.3,0.23,0.37,0.5,1.27,2.59,0.67,0.1,0.07,0.23,0.82,0.07
WS2M_MIN,1986,20.5,91.875,0.35,0.55,0.19,0.36,0.77,0.38,2.88,0.3,0.34,0.19,0.09,1.11,0.09
WS2M_MIN,1986,20.5,92.5,0.24,0.79,0.41,0.08,0.21,0.21,2.36,0.27,0.1,0.3,0.31,0.28,0.08
WS2M_MIN,1986,21.0,88.75,0.08,0.24,0.19,0.27,1.02,2.45,2.5,0.64,0.14,0.48,0.2,0.2,0.08
WS2M_MIN,1986,21.0,89.375,0.09,0.16,0.21,0.31,1.2,2.34,0.49,0.93,0.13,0.33,0.18,0.14,0.09
WS2M_MIN,1986,21.0,90.0,0.03,0.27,0.05,0.36,0.96,2.16,1.86,0.23,0.3,0.53,0.33,0.07,0.03
WS2M_MIN,1986,21.0,90.625,0.28,0.11,0.18,0.42,1.09,1.77,2.6,0.23,0.17,0.08,0.19,0.41,0.08
WS2M_MIN,1986,21.0,91.25,0.2,1.48,0.4,0.31,0.92,1.38,2.01,0.15,0.06,0.23,0.1,0.75,0.06
WS2M_MIN,1986,21.0,91.875,0.25,0.32,0.06,0.19,0.25,0.74,1.45,0.44,0.18,0.22,0.42,0.71,0.06
WS2M_MIN,1986,21.0,92.5,0.07,0.04,0.05,0.06,0.05,0.05,0.3,0.01,0.03,0.02,0.03,0.01,0.01
WS2M_MIN,1986,21.5,88.75,0.11,0.21,0.26,0.39,1.16,0.72,1.36,0.57,0.25,0.23,0.17,0.11,0.11
WS2M_MIN,1986,21.5,89.375,0.03,0.09,0.21,0.27,1.15,2.06,1.83,0.35,0.13,0.37,0.16,0.17,0.03
WS2M_MIN,1986,21.5,90.0,0.22,0.09,0.17,0.25,1.14,2.43,0.47,0.07,0.08,0.17,0.17,0.15,0.07
WS2M_MIN,1986,21.5,90.625,0.06,0.16,0.25,0.58,0.95,1.97,1.02,0.67,0.27,0.28,0.12,0.17,0.06
